date,latitude,longitude
20210221,-9,159
20200225,15,145
20210302,-20,-70
20200228,-7,128
20200406,-20,-70
20201221,46,151
20200811,-23,-68
20200515,13,-93
20200403,-29,-177
20201222,-21,-178
20200612,53,171
20210129,15,145
20210111,41,78
20201212,15,145
20201003,4,127
20200123,54,-35
20201225,53,-35
20200115,23,142
20210113,4,127
20200521,3,99
20200716,-4,130
20201215,27,130
20200117,8,-73
20200525,15,120
20200904,-15,-174
20200101,51,155
20200415,37,141
20210128,52,-173
20201027,65,168
20200905,-31,-178
20210212,-6,147
20201226,-35,-72
20200908,-4,130
20210127,45,148
20200802,14,56
20201102,14,56
20201208,12,126
20200405,14,56
20200128,-11,166
20201206,14,56
20210228,-20,170
20200414,-17,-174
20201231,40,77
20200821,-14,167
20201021,4,127
20200328,56,161
20200424,-15,-172
20200913,19,121
20200718,-32,-178
20200421,46,152
20200315,46,27
20200117,-6,148
20200613,-33,-69
20200218,4,127
20200502,-30,-179
20200426,36,141
20210104,43,72
20201014,17,-99
20201116,43,145
20201018,53,-35
20200408,-48,-76
20210203,24,123
20210106,59,-152
20200617,28,61
20200109,-11,162
20200316,26,140
20201007,-5,69
20200419,-3,148
20200929,-2,-77
20200903,-25,-177
20200715,11,140
20200211,55,-162
20200918,15,-91
20200511,11,141
20200102,-4,136
20210114,-55,-27
20200302,-7,155
20200419,10,-67
20200623,-10,162
20200507,-59,-25
20200613,-44,-16
20200612,-5,152
20201006,-56,-27
20200828,-18,-173
20200617,-57,-142
20200114,-22,171
20200601,-7,155
20200819,25,57
20200428,-56,-125
20201002,3,98
20201206,-32,-70
20200609,9,-83
20200305,58,164
20201031,37,143
20201104,0,132
20210224,38,68
20200430,-5,101
20200118,1,-85
20200411,1,-85
20200922,1,-85
20200202,-17,67
20210218,-30,-14
20200212,-16,-178
20200721,-12,65
20200623,-20,-69
20200601,-22,-67
20200808,-6,150
20210211,-5,153
20200925,13,145
20200310,-6,155
20201110,4,127
20201216,-56,-27
20200723,-16,-173
20200113,-20,168
20200822,0,125
20200514,56,-152
20210109,56,-152
20210126,56,-152
20200114,-32,-178
20200809,-31,-178
20200202,-32,-179
20201107,56,-152
20200817,54,169
20201110,-5,-106
20200225,19,-108
20200216,-27,-70
20210302,-17,-173
20201129,83,-9
20200728,-9,159
20200730,-4,149
20201124,3,127
20200420,-16,-75
20200308,-16,-75
20200915,-4,101
20201112,-13,-111
20200515,-20,177
20210121,-45,-81
20200822,-19,177
20200901,25,38
20200429,25,38
20200715,-7,68
20200415,-7,68
20200916,-7,68
20200626,-31,-178
20200524,19,-65
20201208,-19,177
20200831,-23,-175
20200512,-7,68
20200404,-7,68
20201012,-15,-173
20200408,36,78
20200904,8,127
20210127,8,127
20210218,-13,167
20200213,8,127
20201215,14,-91
20200205,18,-98
20210227,-63,166
20210217,-24,179
20200320,-1,133
20201008,14,145
20210217,1,-85
20201020,15,120
20201101,-31,-178
20201017,-42,88
20201208,-31,-178
20201125,-31,-178
20200201,-42,88
20201119,-8,159
20201230,-4,-104
20200729,41,23
20201108,-62,165
20201224,-29,-71
20200604,-35,55
20200502,-14,-76
20210225,-8,68
20200509,-21,-177
20200625,22,120
20200707,-24,-68
20200303,-33,-16
20200622,-54,-134
20200513,-19,-173
20200706,-56,-28
20200320,-5,151
20200119,17,-86
20200419,19,-106
20201025,18,-106
20200519,14,-92
20210219,-44,-107
20200112,-17,-175
20210207,-17,168
20200331,-4,127
20200822,-6,142
20210222,18,-107
20201101,-6,151
20200713,6,126
20210131,18,-106
20201208,1,126
20200418,11,141
20200715,-60,-26
20200611,-6,68
20200815,-7,150
20200225,-16,178
20200503,38,142
20200513,20,-63
20201023,-18,168
20200306,-36,-103
20201223,40,53
20210226,-18,168
20200610,-18,168
20200106,-18,168
20201121,-18,168
20200716,-18,168
20200330,-63,-158
20201002,15,-86
20200716,-18,168
20200131,-38,49
20200827,-8,122
20200413,20,-109
20200508,-50,121
20201022,-6,147
20200526,33,82
20200226,-18,168
20200402,-46,35
20200621,0,125
20210129,-35,-104
20201220,-17,168
20200304,2,-96
20200319,-17,168
20200826,-9,124
20210105,42,143
20200816,-15,168
20200320,45,149
20200614,16,-88
20200521,35,141
20200914,55,161
20201103,-48,100
20200116,-9,-75
20201211,54,-163
20201223,24,-46
20200423,16,-93
20201102,-18,168
20201218,-22,-180
20200924,59,-137
20200628,-15,171
20200131,-37,-20
20201008,-8,118
20200708,-23,-175
20200707,-22,-180
20200809,16,-87
20200624,-9,-72
20200719,-35,-108
20201218,-53,-117
20201206,-55,-127
20200807,-23,171
20200831,-56,-27
20200501,11,92
20200316,-6,128
20210121,-17,168
20200609,-11,166
20200801,34,137
20200722,-42,-84
20200219,-42,-84
20200705,-5,103
20210208,-25,-14
20200102,-8,130
20200613,-24,-177
20200313,53,159
20200112,-18,168
20200929,-17,168
20200120,-17,168
20210211,-18,168
20201208,-5,128
20210224,-17,-71
20200415,45,79
20200215,-31,-72
20201127,-57,147
20200117,15,-91
20200727,5,126
20201207,5,127
20201110,-8,117
20200419,-59,-25
20200118,5,126
20200912,-56,-28
20210101,5,126
20200721,9,94
20200726,-59,-26
20200412,-14,-76
20201121,16,-87
20200801,-4,126
20200424,-54,6
20200813,47,146
20210224,52,-175
20200117,-46,-77
20201218,-29,-177
20201206,22,62
20200903,36,36
20200523,31,142
20200808,8,127
20200202,35,28
20200310,-54,7
20200206,35,28
20200119,-40,78
20200826,-21,-69
20201122,14,145
20200417,38,27
20200222,-5,103
20201219,39,143
20200421,76,7
20200921,62,-151
20200512,12,95
20200128,76,7
20200214,-24,180
20201030,51,-178
20200903,51,-178
20200831,76,7
20200430,12,95
20200903,-3,146
20200502,-5,154
20210109,-5,154
20200728,-16,-174
20200109,-3,146
20201116,39,143
20200125,39,142
20200501,-16,178
20200629,0,-17
20210203,-42,43
20201010,-24,-13
20200924,-1,99
20201122,-19,169
20200906,-35,-102
20210120,-15,-172
20200922,-33,-16
20200407,19,121
20200715,1,122
20201004,1,122
20210122,24,122
20200208,-32,58
20200716,-46,-76
20200214,-22,171
20200811,-6,151
20201028,31,104
20200115,15,-86
20200911,-32,-178
20210129,-17,-14
20200504,0,97
20200825,40,73
20201124,34,25
20201117,1,126
20200909,13,144
20200728,-42,42
20210118,5,125
20201230,-15,-176
20210122,-29,-178
20201114,-12,-14
20201015,37,72
20210220,-1,100
20200302,25,-110
20201011,-3,102
20200715,4,-76
20200713,25,-110
20200705,-3,131
20200515,-2,139
20200414,-50,-8
20200708,25,-110
20200427,-3,127
20210220,-5,142
20210110,14,121
20200502,11,143
20200522,-40,-91
20201128,11,143
20210218,10,-79
20200629,13,-88
20210120,15,145
20201015,36,71
20210213,-53,-118
20210214,10,-79
20200204,-53,-118
20210217,50,177
20200303,25,128
20201202,11,-86
20200710,57,-34
20200905,-6,152
20200308,-29,-71
20210216,75,-72
20200403,-27,67
20201031,-36,-103
20210227,-36,-103
20210216,22,145
20200705,26,101
20200712,45,-130
20200812,0,123
20200126,48,148
20200202,5,127
20200331,26,101
20200828,0,98
20201231,-16,-173
20200521,10,122
20200420,-21,-174
20200611,22,-108
20201124,-4,152
20200214,-14,-14
20200128,-31,-71
20201109,-15,-70
20200429,-5,134
20201204,25,-107
20200827,-37,178
20200111,24,122
20200628,-9,119
20201117,-53,-118
20201215,24,122
20200807,23,144
20201226,-18,168
20200725,-22,-67
20200913,-45,167
20201218,-46,166
20200827,-46,166
20200222,-46,166
20210104,-46,166
20200905,-40,174
20200323,-46,167
20201221,51,-178
20200501,-47,166
20200129,-45,166
20200727,-3,150
20200408,-20,-69
20201129,-3,151
20201127,9,126
20210222,-46,166
20200412,-46,166
20201114,-46,166
20200621,3,-32
20200324,42,133
20210226,24,122
20200812,39,101
20201029,-46,166
20210225,-18,168
20200717,-45,167
20210122,5,127
20201110,-46,166
20210108,24,122
20200123,-22,-175
20201104,4,126
20200521,-45,167
20200228,2,127
20200724,-21,-174
20200812,-46,166
20210206,34,-37
20200208,5,127
20200326,-5,146
20200129,-42,88
20200228,-46,167
20201122,36,43
20200613,1,-29
20200327,-16,-175
20200204,-56,-28
20200323,-45,166
20201205,-2,-80
20200227,-15,-174
20201116,-42,42
20200314,-9,96
20200510,-46,166
20201022,-9,118
20200926,-7,30
20201215,2,127
20200402,6,126
20210224,-15,-174
20200416,-7,155
20200422,-23,173
20200929,-14,66
20200813,51,159
20200831,27,56
20200714,-56,-27
20200519,31,86
20200203,-59,149
20200915,-24,-67
20200429,45,148
20200309,-15,167
20200821,-6,155
20200121,2,97
20200501,-55,-125
20200122,-30,-178
20200911,59,-144
20210109,11,94
20201203,23,122
20200728,-5,103
20200215,11,94
20200331,24,121
20201204,0,132
20200509,11,94
20201211,-20,170
20210118,11,94
20200711,11,94
20200831,11,94
20201102,11,95
20201222,11,94
20210105,11,94
20200918,11,94
20200815,11,94
20200429,11,94
20201028,11,94
20200216,11,94
20200716,11,94
20200531,11,94
20200212,-18,168
20200724,-24,-67
20200703,-5,152
20200412,-6,152
20201207,35,73
20200316,-23,171
20201206,-9,161
20200318,11,94
20200916,11,94
20201108,-5,102
20200801,23,143
20200407,-6,102
20200816,-24,-72
20210128,-11,165
20201104,-36,-103
20210222,-5,153
20200909,-46,166
20200213,22,120
20200321,-23,-14
20201026,-21,-174
20200306,40,40
20201220,-41,-91
20200223,-10,119
20200429,-5,134
20201017,-21,15
20200605,-57,-143
20200408,-21,-174
20200203,-9,109
20200514,-42,-90
20201203,-12,-75
20210104,-9,123
20200924,-56,-124
20200503,38,142
20200512,-56,-124
20201002,0,133
20201230,29,-113
20201128,19,145
20200702,-9,159
20201115,-14,-75
20201103,29,-113
20210103,-45,166
20210218,29,-114
20201025,12,144
20201027,51,97
20200620,-18,168
20200619,24,125
20200525,30,-114
20200128,-46,166
20200820,33,132
20201029,-9,67
20201108,8,-103
20200714,43,29
20200704,-39,137
20200225,-16,-177
20200627,-8,157
20200504,-16,-178
20200121,-16,-177
20200924,40,-125
20200722,47,-27
20210204,-23,179
20200909,36,82
20200617,33,138
20200312,-5,153
20200703,-12,166
20200830,-32,-179
20200612,-27,-114
20200628,-12,166
20201101,14,93
20200615,-3,143
20201018,35,138
20210208,24,95
20200201,6,126
20200205,-28,-67
20200117,-58,-25
20201119,33,140
20200814,9,94
20200311,-22,-175
20200429,-57,-142
20210125,8,-86
20201016,14,93
20200727,-27,-114
20201203,-27,-114
20200707,-14,167
20200222,19,-66
20200118,14,93
20200823,13,125
20201216,5,128
20201020,18,-100
20200627,-20,-178
20200508,-56,-28
20200830,5,97
20200504,0,123
20200916,-1,99
20200520,-35,-180
20201111,-1,99
20200624,-18,-179
20201020,-2,99
20210104,-2,99
20200623,-1,100
20200505,-1,99
20200422,5,127
20200128,-35,-179
20200719,24,123
20200810,-4,102
20201226,23,124
20200924,23,124
20200424,-7,155
20201223,-1,99
20200928,-22,171
20200306,-26,-178
20200921,23,124
20201001,24,124
20200906,2,127
20200730,-7,155
20201023,-55,-131
20200402,-1,98
20200108,-1,98
20200725,-1,99
20200406,-1,99
20200919,27,92
20201218,61,-151
20201221,-16,-173
20200427,4,127
20201228,2,127
20200301,23,123
20200202,72,1
20200726,-23,171
20200706,-36,179
20200327,-23,171
20200902,42,19
20200407,22,121
20210126,1,-29
20200901,-21,-174
20200112,46,150
20200813,-23,-179
20200815,-2,100
20200110,20,121
20200818,0,97
20210201,49,157
20201128,2,127
20200128,41,140
20200208,-3,147
20201123,-3,147
20200822,-15,-172
20210126,-12,166
20201109,-46,166
20200912,-21,-69
20201220,0,124
20201007,-15,-173
20201011,15,-94
20201129,-9,-109
20200903,9,124
20201012,-25,178
20210110,-15,-173
20200402,-3,147
20200512,-3,147
20200826,-41,-91
20201021,-5,-81
20200809,46,154
20200203,-10,161
20200718,38,96
20201210,-9,154
20210225,38,96
20210124,38,96
20200701,-7,123
20201106,-17,-174
20201227,5,95
20200719,38,96
20200204,-36,-111
20200119,30,131
20200502,44,-129
20200905,-1,98
20210106,44,-128
20200210,38,96
20200319,13,58
20201121,15,-94
20200208,15,-94
20210213,38,96
20200924,-7,155
20200106,16,-116
20201115,-15,-173
20200719,2,129
20200524,2,128
20200901,50,154
20210226,25,95
20200705,38,96
20200921,38,96
20201114,12,-87
20200719,38,96
20200915,-62,156
20201209,-20,-178
20210301,-8,107
20201015,-8,107
20200907,-22,-175
20201216,-29,-179
20201228,44,148
20200503,-8,107
20200512,24,95
20200131,-3,136
20210124,-5,134
20200409,31,130
20210212,-41,-86
20200123,-6,105
20201105,-48,32
20200725,19,-46
20200909,-5,153
20200424,-6,131
20200120,-15,-70
20200909,9,-83
20200731,-23,171
20200708,41,20
20210302,13,145
20200210,-19,-175
20201227,43,43
20200326,-3,146
20200412,-10,111
20210115,-9,127
20200119,3,127
20200125,-49,122
20200225,1,121
20200923,-21,-176
20200108,5,94
20200725,-8,117
20210219,18,-96
20200608,-5,104
20200801,-32,180
20200728,2,126
20201222,-30,-112
20200724,48,154
20200603,-30,-112
20200801,-5,153
20200804,-30,-112
20200716,24,142
20200922,-56,-27
20201211,48,154
20200810,11,-68
20201103,-46,-77
20200125,29,-114
20210216,-15,167
20201204,-23,180
20201114,-14,98
20200306,-4,103
20200216,52,-169
20210217,2,128
20200529,-29,-112
20200428,38,96
20200527,-9,116
20201120,38,96
20200726,38,96
20200627,13,120
20200923,19,-108
20210120,7,125
20200523,2,127
20200831,36,71
20210107,6,125
20200419,32,-115
20210125,1,100
20200426,-32,-111
20210108,46,152
20200731,-32,-111
20200601,71,-8
20201204,27,91
20210217,5,-83
20201001,20,95
20200602,31,79
20201006,4,-31
20200703,12,121
20201211,-33,-179
20200912,51,-178
20201107,-6,155
20210218,27,140
20200324,-4,142
20200625,-53,160
20210112,-60,-33
20201121,19,-107
20200123,-54,141
20200404,47,90
20200307,42,77
20200716,-31,-178
20210209,-55,-144
20210111,-6,130
20200305,67,-170
20210125,-32,-72
20200417,-22,171
20201213,-41,-92
20200120,-8,30
20210228,-30,61
20201026,3,126
20200710,6,-83
20200628,-6,152
20200614,-26,-14
20210218,28,128
20200726,-16,-172
20201102,-16,-173
20201126,-15,-172
20210219,31,83
20200714,28,128
20200508,-15,-174
20200816,-16,-173
20200706,-16,-173
20200302,-16,-172
20200328,-16,-174
20200501,-16,-173
20200817,-16,-173
20201118,-16,-173
20200605,-16,-173
20201203,-16,-172
20210208,28,128
20200412,-16,-173
20200711,-16,-173
20201123,-17,-173
20200211,-15,-173
20200111,-16,-173
20200222,-15,-173
20201013,-16,-173
20200811,-15,-172
20210111,-17,-173
20200912,-16,-173
20200825,-16,-173
20201124,-16,-173
20200518,-16,-173
20200909,-15,-173
20200429,-15,-172
20200504,-16,-173
20200103,-15,-173
20210222,-15,-173
20200607,-16,-174
20201207,-15,-174
20201221,-15,-173
20210131,-16,-173
20201006,-15,-176
20201006,-15,-173
20210227,-16,-173
20201204,5,127
20200923,-16,-173
20200731,-15,-173
20210225,-1,100
20200317,-17,-173
20200506,-1,100
20200119,-6,151
20201031,-16,-173
20210114,-17,-173
20200919,-16,-69
20201208,56,162
20200228,-15,-177
20200812,-16,-173
20200621,-17,-173
20200402,-15,-173
20200710,-23,170
20201031,-23,170
20201210,-15,-173
20200912,-15,-173
20200721,-12,167
20200511,-15,-173
20210219,-15,-174
20200903,-16,-173
20200412,-15,-173
20200421,-15,-177
20200107,-16,-173
20210102,-2,101
20200702,-2,102
20210221,-16,-173
20200213,-15,-173
20200622,-15,-173
20201210,-16,-173
20200309,-15,-174
20200726,-17,-173
20200228,36,-118
20210128,4,127
20200721,-17,-173
20200229,-16,-173
20200613,-16,-173
20201014,-17,-173
20200120,-15,-172
20201113,39,96
20200803,-15,-174
20210118,-15,-174
20210108,-17,-173
20200520,-52,14
20201114,-16,-173
20200316,-15,-173
20201025,-15,-174
20200614,-1,122
20200402,-6,151
20200724,-17,175
20210204,-18,-173
20201016,-16,-173
20210219,28,128
20201030,-17,-173
20200113,36,-118
20210217,24,121
20210122,0,133
20210127,-6,148
20200210,-16,-173
20201112,7,123
20200529,-16,-173
20200623,-1,68
20201205,-16,-173
20200424,7,124
20200818,-6,148
20200913,32,49
20201225,-16,-173
20200115,-15,-174
20200109,-5,-105
20200419,-2,69
20200824,-21,169
20200529,-55,-119
20201025,19,-108
20200903,-5,145
20210115,-2,69
20200701,-17,-172
20200208,-13,166
20201114,-15,-176
20200706,-13,167
20201217,4,122
20210120,82,120
20210301,-16,-173
20201012,52,178
20200330,-13,166
20201115,-12,167
20201225,-12,166
20200425,-12,166
20201023,-13,167
20200515,-13,166
20210117,-13,166
20200127,-13,166
20200715,-13,166
20210223,-12,166
20200219,-13,166
20200503,-12,166
20201012,-13,166
20200308,-14,166
20201012,47,-27
20200915,-12,166
20201119,4,122
20200407,0,133
20200626,-8,128
20200601,-17,-172
20200802,-13,166
20201130,-11,166
20200709,-13,166
20200220,-13,166
20200904,-13,166
20200219,-11,167
20201204,-13,166
20200206,-12,167
20210110,-11,166
20201003,53,160
20200420,-12,166
20210103,-11,166
20200929,-13,166
20200427,-12,166
20210107,-13,166
20210111,-12,166
20200707,-13,166
20200622,-13,166
20200530,-13,166
20200813,-12,165
20200127,-12,166
20200325,-13,166
20200811,-12,166
20200504,-13,166
20201028,-13,167
20200313,-5,-12
20201223,-11,165
20200909,-12,166
20200410,-13,166
20200907,-12,166
20200503,-16,168
20210113,-13,166
20210109,-13,167
20200417,-18,-116
20200511,-12,166
20210225,-13,166
20200727,-58,-15
20200102,-13,167
20200224,-12,166
20201115,-1,-78
20200503,-9,158
20201111,-12,166
20210207,-13,166
20200518,-14,167
20210214,4,122
20201206,42,142
20200930,29,-43
20200328,-14,166
20200113,-16,-173
20200313,-25,-71
20210221,-25,-71
20210223,-14,166
20200607,-14,166
20210208,-12,167
20210120,-14,167
20200411,-14,167
20200309,-16,-173
20200628,48,152
20200323,-22,170
20200118,-12,165
20200706,43,147
20200922,-13,166
20200712,-14,166
20200928,-18,-173
20200730,-14,166
20200729,-13,166
20201109,-12,167
20200504,15,-105
20210108,-14,167
20200526,-12,166
20201022,38,-32
20200113,-12,166
20200909,-13,166
20200607,-17,67
20201009,16,-105
20210116,47,154
20200823,-14,166
20200628,53,-167
20200911,-13,167
20210114,39,71
20201205,-14,167
20200731,53,-167
20200729,45,149
