month,latitude,longitude,depth,mag,mag_avg
7,30,130,20,5.8,1
7,-20,170,30,7.3,1
7,-20,170,30,6.1,1
7,10,-120,10,6,1
7,-20,170,30,6,1
7,20,-110,20,5.8,1
7,0,-80,140,6.6,1
7,-20,170,20,5.9,1
7,-20,-180,30,5.9,1
8,-60,-30,20,6.3,1
8,-60,-30,20,6,1
8,-10,160,30,6.4,1
8,-60,-30,20,5.8,1
8,50,150,40,5.9,1
8,0,120,20,5.8,1
8,-30,-180,30,5.8,1
8,50,-170,20,6.3,1
8,-20,170,50,5.7,1
8,0,120,20,6,1
8,40,150,40,7.1,1
8,30,130,40,5.7,1
8,-20,-180,40,5.9,1
8,-20,170,50,6,1
8,30,140,20,5.8,1
8,40,140,20,6.8,1
8,-10,-70,610,7.6,1
8,40,140,20,5.6,1
8,40,70,30,5.6,1
8,50,150,30,6,1
8,20,150,40,6,1
8,-20,-10,20,5.8,1
8,-20,-110,20,5.7,1
8,10,-30,20,5.9,1
8,-10,-70,600,7.2,1
9,-60,-30,130,7.3,1
9,10,-90,30,5.9,1
9,50,-180,40,5.3,0
9,60,-150,40,6,1
9,-60,-30,100,7.1,1
9,-40,-80,20,6,1
9,40,30,30,5.9,1
9,20,120,30,6.1,1
9,-20,170,20,5.6,1
9,40,50,50,5.4,1
9,10,-80,20,5.8,1
9,0,150,20,6,1
9,30,140,30,5.7,1
9,50,-170,30,5.8,1
9,50,-170,30,5.5,1
9,-60,-20,10,6.1,1
9,30,140,40,6,1
10,40,20,40,5.6,1
10,-30,180,20,6.1,1
10,-10,170,70,5.7,1
10,20,120,40,5.8,1
10,-60,-30,20,5.7,1
10,-60,0,20,6,1
10,-40,-70,20,6.6,1
10,-60,150,20,5.7,1
10,40,-120,10,5.13,0
10,-20,170,20,5.8,1
10,-60,-30,20,6.2,1
10,0,130,20,6.2,1
10,0,100,30,6.2,1
10,0,150,20,6.5,1
10,50,-130,20,5.8,1
10,30,140,20,5.7,1
10,70,50,20,5.8,1
10,40,-130,20,5.7,1
11,-10,170,40,6,1
11,0,30,30,5.8,1
11,10,-80,20,5.8,1
11,40,150,40,6.5,1
11,-30,-180,40,5.8,1
11,30,-40,20,5.7,1
11,-20,170,30,6,1
11,50,90,20,5.6,1
11,40,140,20,5.8,1
11,30,130,70,6.2,1
11,0,130,30,6.2,1
11,-40,-20,20,6.1,1
12,30,100,20,6.1,1
12,-50,140,20,6.3,1
12,10,90,30,5.9,1
12,-20,-180,30,6.2,1
12,50,160,50,6.2,1
12,-40,-80,30,6.7,1
12,60,-150,20,6,1
